Country,Publications,Citations,h-index,Average Citations per Publication,Number of Cooperative Countries,Multinational Publications,share of multinational cooperation publications
China,437,7532,42,17.24,12,66,15.1
United States,426,13836,59,32.48,25,142,33.33
Germany,60,3262,29,54.37,19,47,78.33
Japan,45,1668,21,37.07,6,16,35.56
United Kingdom,36,1606,20,44.61,17,27,75.0
Brazil,25,526,14,21.04,8,19,76.0
Canada,24,943,17,39.29,11,15,62.5
France,16,692,12,43.25,13,9,56.25
Greece,14,565,11,40.36,10,3,21.43
Italy,14,322,8,23.0,9,12,85.71
Netherlands,13,967,11,74.38,9,7,53.85
Spain,13,288,9,22.15,11,10,76.92
Australia,12,543,10,45.25,11,8,66.67
Taiwan,11,163,6,14.82,0,0,0.0
Switzerland,9,265,7,29.44,8,7,77.78
Austria,8,121,6,15.12,4,7,87.5
Sweden,7,132,6,18.86,5,6,85.71
South Korea,6,76,3,12.67,3,3,50.0
Belgium,5,180,5,36.0,9,4,80.0
India,5,166,5,33.2,1,2,40.0
Denmark,4,33,3,8.25,6,4,100.0
Slovakia,3,261,3,87.0,1,1,33.33
Ireland,3,105,2,35.0,5,2,66.67
Poland,3,41,2,13.67,1,2,66.67
Singapore,2,45,2,22.5,0,0,0.0
Thailand,2,44,2,22.0,4,1,50.0
Iran,1,66,1,66.0,1,1,100.0
Saudi Arabia,1,36,1,36.0,0,0,0.0
Bulgaria,1,33,1,33.0,4,1,100.0
Turkey,1,29,1,29.0,2,1,100.0
Philippines,1,26,1,26.0,1,1,100.0
Indonesia,1,17,1,17.0,4,1,100.0
Mexico,1,16,1,16.0,2,1,100.0
Israel,1,16,1,16.0,2,1,100.0
Algeria,1,14,1,14.0,1,1,100.0
Czech Republic,1,12,1,12.0,1,1,100.0
Egypt,1,9,1,9.0,1,1,100.0
Romania,1,1,1,1.0,1,1,100.0
Portugal,1,0,0,0.0,3,1,100.0
Hungary,1,0,0,0.0,1,1,100.0
