Country,Number of Cooperative Countries
Algeria,1
Romania,1
Slovakia,1
Israel,2
Spain,11
Egypt,1
Turkey,2
Czech Republic,1
Canada,11
Poland,1
Portugal,3
Mexico,2
Brazil,8
Thailand,4
Switzerland,8
Australia,11
South Korea,3
France,13
Iran,1
United States,25
Taiwan,0
Japan,6
Germany,19
Hungary,1
Philippines,1
Italy,9
Netherlands,9
Greece,10
Ireland,5
Bulgaria,4
Denmark,6
Austria,4
Saudi Arabia,0
Sweden,5
Singapore,0
Indonesia,4
Belgium,9
India,1
United Kingdom,17
China,12
