Author,Publication Count
"Garcia, Joe G. N.",38
"Birukova, Anna A.",30
"Birukov, Konstantin G.",24
"Dudek, Steven M.",22
"Wang, Ting",17
"Jacobson, Jeffrey R.",15
"Black, Stephen M.",14
"Lu, Qing",13
"Sammani, Saad",13
"Tian, Yufeng",13
"Malik, Asrar B.",12
"Mehta, Dolly",11
"Fazal, Fabeha",11
"Letsiou, Eleftheria",11
"Camp, Sara M.",11
"Karki, Pratap",11
"Ke, Yunbo",10
"Rahman, Arshad",10
"Pelosi, Paolo",10
"Yang, Yi",10
"Sun, Xiaoguang",10
"Harrington, Elizabeth O.",10
"Leonard, Antony",10
"Wang, Daoxin",9
"Belvitch, Patrick",9
"Rocco, Patricia R. M.",9
"Catravas, John D.",9
"Verin, Alexander D.",9
"Minshall, Richard D.",9
"Barabutis, Nektarios",9
"Sarich, Nicolene",9
"Chichger, Havovi",8
"Braza, Julie",8
"Sun, Gengyun",8
"Orfanos, Stylianos E.",8
"Natarajan, Viswanathan",8
"Tauseef, Mohammad",8
"Li, Yan",8
"Aggarwal, Saurabh",8
"Chen, Weiguo",7
"Desai, Ankit A.",7
"Zhou, Jian",7
"Zhou, Zengding",7
"Rounds, Sharon",7
"Zhao, You-Yang",7
"Yi, Lei",7
"Lucas, Rudolf",7
"Qi, Di",7
"Ayala, Alfred",7
"Meng, Fanyong",7
"Gross, Christine",7
"Rizzo, Alicia N.",7
"Kuebler, Wolfgang M.",7
"Liu, Wei",7
"Quijada, Hector",6
"Liu, Yu",6
"Zemskov, Evgeny A.",6
"Liu, Huagang",6
"Wu, Zhiyong",6
"Li, Bowen",6
"Chang, Jinxing",6
"Tang, Haiyang",6
"Ren, Wei",6
"Moreno-Vinasco, Liliana",6
"Li, Jing",6
"Meliton, Angelo",6
"Silliman, Christopher C.",6
"Guo, Feng",6
"Zhang, Dan",6
"Chung, Chun-Shiang",6
"Zhang, Yi",6
"Su, Yunchao",6
"Huang, Xiaoqin",6
"Wu, Xiaomin",6
"Kotanidou, Anastasia",6
"Wang, Hui",6
"Silva, Pedro L.",6
"Marini, John J.",6
"Jin, Faguang",5
"Banerjee, Anirban",5
"Rafikov, Ruslan",5
"Ma, Xiaochun",5
"Moldobaeva, Nurgul",5
"Lee, Patty J.",5
"Kumar, Sanjiv",5
"Tang, Xumao",5
"Evans, Colin E.",5
"Berdyshev, Evgeny",5
"Li, Yue",5
"Vassiliou, Alice G.",5
"Vogel, Stephen M.",5
"Muzykantov, Vladimir R.",5
"Wu, Tinghuai",5
"Zhang, Chen-Ou",5
"Dai, Feifeng",5
"Chang, Mengling",5
"Capelozzi, Vera L.",5
"Zhu, Jiali",5
"Li, Jinbao",5
"Wang, Huashan",5
"Huan, Jingning",5
"Huang, Xiao",5
"Sun, Xutong",5
"Zhao, Yan",5
"Hu, Shuling",5
"Li, Chichi",5
"Chen, Yi",5
"Tatsumi, Koichiro",5
"Chiang, Eddie T.",5
"Kangath, Archana",4
"Chen, Li",4
"Yang, Yang",4
"Wang, Ping",4
"Slavin, Spencer A.",4
"Greineder, Colin F.",4
"Bhattacharya, Jahar",4
"Pearse, David B.",4
"Fan, Shulei",4
"Hood, Elizabeth D.",4
"He, Jing",4
"Chen, Hailong",4
"Chakraborty, Trinad",4
"Kelher, Marguerite R.",4
"Matthay, Michael A.",4
"Lomas-Neira, Joanne",4
"Gawlak, Grzegorz",4
"Mehta, Sanjay",4
"Kou, Junping",4
"Qiu, Haibo",4
"Zhang, Yuanyuan",4
"Zhang, Yan",4
"Bijli, Kaiser M.",4
"Kawasaki, Takeshi",4
"Akhter, Mohammad S.",4
"Bochkov, Valery N.",4
"Herrero, Raquel",4
"Dimitropoulou, Christiana",4
"Stevens, Troy",4
"Wang, Chen",4
"Lee, Ji Young",4
"Huang, Kai",4
"Liu, Ling",4
"Jiang, Wanglin",4
"Flores, Carlos",4
"He, Wanmei",4
"Zeng, Mian",4
"Shan, Peiying",4
"Huang, Xiaojia",4
"Wang, Xiaozhi",4
"Song, Yuanlin",4
"Liu, Mingyao",4
"Chen, Bicheng",4
"Epshtein, Yulia",4
"Machado, Roberto F.",4
"Zhang, Hong",4
"Zou, Yun",4
"Liu, Zhenwei",4
"Zhou, Tong",4
"Li, Fang",4
"Deng, Wang",4
"Bayat, Behnaz",4
"Zhao, Yutong",4
"Zhao, Jing",4
"Sachs, Ulrich J.",4
"Lassalle, Philippe",4
"Bandela, Mounica",4
"Ge, Shanhui",4
"Yuan, Yuan",4
"Bittman, Robert",4
"Yin, Jun",4
"Kim, Junghyun",4
"de Abreu, Marcelo Gama",4
"Fu, Panfeng",4
"Zhou, Fachun",4
"Chen, Qingui",4
"Moraes, Lillian",4
"Santos, Raquel S.",3
"Li, Jin",3
"Saadat, Laleh",3
"Takata, Masao",3
"Brenner, Jacob S.",3
"Hu, Zhipeng",3
"Wang, Lefeng",3
"Qiu, Hai-Bo",3
"Okada, Hideshi",3
"Tomita, Hiroyuki",3
"Mapes, Brandon",3
"Chen, Wei",3
"Epiphanio, Sabrina",3
"Ogura, Shinji",3
"Wu, Jun",3
"Yoshida, Shozo",3
"Jacobs, Elizabeth R.",3
"Yu, Jie",3
"Zhang, Lin",3
"Gill, Sean E.",3
"O'Dea, Kieran P.",3
"Zhong, Ming",3
"Zhang, Ying",3
"Gao, Fengying",3
"Oskolkova, Olga",3
"Zhang, Peng",3
"Tang, Jiahui",3
"Lin, Shan",3
"Shimoda, Larissa A.",3
"Ware, Lorraine B.",3
"Bastarache, Julie A.",3
"Sridhar, Supriya",3
"Luo, Yuling",3
"Xing, Junjie",3
"Grinnell, Katie L.",3
"Fulton, David J.",3
"Zhang, Lishan",3
"Zhang, Minlong",3
"Liu, Xiangyong",3
"Rentsendorj, Otgonchimeg",3
"Witzenrath, Martin",3
"Zhang, Wei",3
"Li, Yingchuan",3
"Christie, Jason D.",3
"Gong, Shuaishuai",3
"Li, Xu",3
"Zhang, Hui",3
"Hu, Guochang",3
"Yang, Xuekang",3
"Rocha, Nazareth N.",3
"Hu, Dahai",3
"Jones, Joshua H.",3
"Yu, Boyang",3
"Uddin, Mohammad A.",3
"Armaganidis, Apostolos",3
"Kubra, Khadeja-Tul",3
"Gorshkov, Boris",3
"Wang, Li",3
"Sharma, Shruti",3
"Ding, Bi-Sen",3
